normal insertion sort,binary insertion sort,nCompNormInsertion,Binary
0,0,2469,3016
0,0,9395,10685
0,0,21316,23418
0,0,40375,43356
0,15623000,61177,65051
0,0,88062,92854
0,0,116227,121976
0,0,154499,161240
0,0,196359,204098
0,0,238969,247708
0,0,291321,301065
0,0,347414,358195
0,15626000,410638,422465
0,0,479807,492706
0,0,553564,567551
0,0,624095,639173
15553000,0,693642,709817
0,0,780116,797390
0,15622000,879685,898050
0,0,975767,995235
15625000,0,1072934,1093499
0,0,1183060,1204738
15625000,0,1300394,1323195
0,15625000,1412953,1436894
0,15626000,1546641,1571727
0,0,1669097,1695351
15624000,0,1828287,1855692
15625000,0,1955286,1983857
15625000,0,2098726,2128470
15626000,0,2237998,2268933
15624000,15625000,2403372,2435504
0,15625000,2550378,2583695
15626000,0,2713348,2747864
15625000,15624000,2867782,2903490
0,15626000,3024492,3061380
15624000,15626000,3206178,3244243
15625000,15624000,3377634,3416893
15625000,0,3576974,3617425
15625000,15626000,3776873,3818506
15624000,15626000,3971125,4013955
15624000,31250000,4190282,4234293
15625000,15625000,4394691,4439910
15624000,15625000,4618156,4664584
15625000,15626000,4843006,4890646
31250000,15627000,5072153,5121008
15623000,31249000,5292889,5342961
15626000,15624000,5527584,5578890
31251000,15625000,5779052,5831594
31250000,15624000,6011151,6064932
31333000,31167000,6261888,6316906
15625000,31250000,6503920,6560177
31250000,15625000,6768507,6826027
31250000,31250000,7044392,7103160
31250000,15626000,7316302,7376319
31253000,31247000,7568634,7629913
46876000,15624000,7853979,7916520
31249000,31250000,8151978,8215783
46877000,31248000,8436609,8501685
31249000,31251000,8745386,8811734
46877000,31321000,9044643,9112254
46802000,31250000,9318791,9387684
46875000,31249000,9642029,9712213
46876000,31249000,9965997,10037467
46876000,31249000,10277338,10350065
46875000,31250000,10634497,10708503
46875000,46876000,10926864,11002150
46874000,31249000,11287227,11363785
62501000,46874000,11631551,11709392
46876000,46874000,11991993,12071116
46876000,46874000,12337126,12417534
46876000,46875000,12717590,12799280
62504000,31246000,13087303,13170279
62500000,46875000,13466983,13551223
62500000,46875000,13804143,13889667
62500000,62498000,14166073,14252883
62502000,46875000,14544715,14632796
62499000,62500000,14870912,14960280
78124000,46876000,15262039,15352691
62499000,78126000,15636191,15728127
62500000,46876000,16050728,16143949
78124000,78126000,16391795,16486308
78123000,46874000,16780905,16876700
78125000,78200000,17200610,17297681
78051000,46875000,17604286,17702654
93750000,78125000,18072613,18172274
78125000,62500000,18491545,18592517
78124000,93751000,18918084,19020360
78126000,62498000,19322713,19426301
93750000,78124000,19747544,19852435
93750000,62500000,20195434,20301638
93751000,62499000,20651060,20758558
93751000,93749000,21166182,21274995
93750000,78126000,21626782,21736917
93750000,109374000,22098566,22210021
93751000,62499000,22509914,22622679
109378000,109372000,22969565,23083643
93749000,78126000,23418014,23533428
109374000,78126000,23919952,24036699
109388000,109363000,24419725,24537803
109342000,78238000,24904468,25023861
